Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date
4108360,195210002,Anterior cerebral artery syndrome,Disorder,Standard,01-31-02,12-31-99
4045747,230714009,Anterior circulation stroke of uncertain pathology,Disorder,Standard,01-31-02,12-31-99
763094,436031000124102,Anterior inferior cerebellar artery occlusion with infarction,Disorder,Standard,01-09-13,12-31-99
761798,16002511000119104,Basilar artery embolism with stroke,Disorder,Standard,01-03-18,12-31-99
37155661,293671000119109,Behavioral disturbance due to multi-infarct dementia,Disorder,Standard,04-30-22,12-31-99
4111710,195212005,Brainstem stroke syndrome,Disorder,Standard,01-31-02,12-31-99
4211509,413758000,Cardioembolic stroke,Disorder,Standard,01-31-05,12-31-99
36716999,16371781000119100,Cerebellar stroke,Disorder,Standard,01-31-17,12-31-99
4111711,195213000,Cerebellar stroke syndrome,Disorder,Standard,01-31-02,12-31-99
43531607,99451000119105,Cerebral infarction due to stenosis of carotid artery,Disorder,Standard,07-31-13,12-31-99
37312016,788881005,Cerebral ischemic stroke due to aortic arch embolism,Disorder,Standard,01-31-20,12-31-99
37312017,788880006,Cerebral ischemic stroke due to dissection of artery,Disorder,Standard,01-31-20,12-31-99
37110239,724426006,Cerebral ischemic stroke due to extracranial large artery atherosclerosis,Disorder,Standard,07-31-17,12-31-99
37312015,788882003,Cerebral ischemic stroke due to global hypoperfusion with watershed infarct,Disorder,Standard,01-31-20,12-31-99
37312014,788883008,Cerebral ischemic stroke due to hypercoagulable state,Disorder,Standard,01-31-20,12-31-99
37110238,724425005,Cerebral ischemic stroke due to intracranial large artery atherosclerosis,Disorder,Standard,07-31-17,12-31-99
37110678,724993002,Cerebral ischemic stroke due to occlusion of extracranial large artery,Disorder,Standard,07-31-17,12-31-99
37110237,724424009,Cerebral ischemic stroke due to small artery occlusion,Disorder,Standard,07-31-17,12-31-99
37110679,724994008,Cerebral ischemic stroke due to stenosis of extracranial large artery,Disorder,Standard,07-31-17,12-31-99
37312013,788884002,Cerebral ischemic stroke due to subarachnoid hemorrhage,Disorder,Standard,01-31-20,12-31-99
381316,230690007,Cerebrovascular accident,Disorder,Standard,01-31-02,12-31-99
619830,9.1514193100011917e+17,Cerebrovascular accident due to embolism of basilar artery,Disorder,Standard,01-31-21,12-31-99
605421,1.075570610001191e+17,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries,Disorder,Standard,07-31-21,12-31-99
608742,1.521486410001191e+17,Cerebrovascular accident due to embolism of bilateral carotid arteries,Disorder,Standard,07-31-21,12-31-99
602613,58173271000119104,Cerebrovascular accident due to embolism of bilateral cerebellar arteries,Disorder,Standard,07-31-21,12-31-99
619933,9.3988543100011917e+17,Cerebrovascular accident due to embolism of bilateral middle cerebral arteries,Disorder,Standard,07-31-21,12-31-99
609188,1.687475910001191e+17,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries,Disorder,Standard,07-31-21,12-31-99
618670,7.3233039100011917e+17,Cerebrovascular accident due to embolism of bilateral vertebral arteries,Disorder,Standard,07-31-21,12-31-99
609263,2.517705610001191e+17,Cerebrovascular accident due to embolism of left anterior cerebral artery,Disorder,Standard,07-31-21,12-31-99
618688,8.5942275100011904e+17,Cerebrovascular accident due to embolism of left carotid artery,Disorder,Standard,07-31-21,12-31-99
618628,5.172530510001191e+17,Cerebrovascular accident due to embolism of left vertebral artery,Disorder,Standard,07-31-21,12-31-99
618684,8.4948870100011904e+17,Cerebrovascular accident due to embolism of right anterior cerebral artery,Disorder,Standard,07-31-21,12-31-99
609313,3.844301010001191e+17,Cerebrovascular accident due to embolism of right carotid artery,Disorder,Standard,07-31-21,12-31-99
618677,8.0616165100011917e+17,Cerebrovascular accident due to embolism of right vertebral artery,Disorder,Standard,07-31-21,12-31-99
