Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date
4338523,88032003,Amaurosis fugax,Disorder,Standard,01-31-02,12-31-99
36712812,12237911000119108,Amaurosis fugax of left eye,Disorder,Standard,01-31-17,12-31-99
36712813,12237951000119104,Amaurosis fugax of right eye,Disorder,Standard,01-31-17,12-31-99
374055,64009001,Basilar artery syndrome,Disorder,Standard,01-31-02,12-31-99
4112020,195200006,Carotid artery syndrome hemispheric,Disorder,Standard,01-31-02,12-31-99
4043734,230716006,Carotid territory transient ischemic attack,Disorder,Standard,01-31-02,12-31-99
40485430,444172003,Recurrent transient cerebral ischemic attack,Disorder,Standard,01-31-10,12-31-99
373503,266257000,Transient cerebral ischemia,Disorder,Standard,01-31-02,12-31-99
4139517,426814001,Transient cerebral ischemia due to atrial fibrillation,Disorder,Standard,07-31-07,12-31-99
37163288,1208871009,Transient ischemic attack co-occurrent with subarachnoid hemorrhage,Disorder,Standard,03-31-22,12-31-99
46272244,710575003,Transient ischemic attack due to embolism,Disorder,Standard,07-31-15,12-31-99
4048785,230717002,Vertebrobasilar territory transient ischemic attack,Disorder,Standard,01-31-02,12-31-99
